;COND;TIMESTAMP;ANGER;CONTEMPT;DISGUST;FEAR;HAPPINESS;NEUTRAL;SADNESS;SURPRISE
1140;freud;1555653702;0.0;0.0;0.0;0.0;0.0;0.991;0.008;0.0
1141;freud;1555653703;0.0;0.0;0.0;0.0;0.0;0.991;0.009000000000000001;0.0
1142;freud;1555653704;0.0;0.001;0.0;0.0;0.0;0.963;0.036000000000000004;0.0
1143;freud;1555653705;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
1144;freud;1555653706;0.0;0.0;0.0;0.0;0.0;0.986;0.013999999999999999;0.0
1145;freud;1555653707;0.0;0.0;0.0;0.0;0.0;0.922;0.077;0.0
1146;freud;1555653708;0.0;0.001;0.0;0.0;0.0;0.9420000000000001;0.057;0.0
1147;freud;1555653709;0.0;0.0;0.0;0.0;0.0;0.94;0.06;0.0
1148;freud;1555653710;0.0;0.0;0.0;0.0;0.0;0.972;0.027000000000000003;0.0
1149;freud;1555653711;0.0;0.001;0.0;0.0;0.0;0.9329999999999999;0.067;0.0
1150;freud;1555653712;0.0;0.001;0.0;0.0;0.0;0.9179999999999999;0.081;0.0
1151;freud;1555653713;0.0;0.001;0.0;0.0;0.0;0.919;0.08;0.0
1152;freud;1555653714;0.0;0.001;0.0;0.0;0.0;0.845;0.154;0.0
1153;freud;1555653715;0.0;0.002;0.0;0.0;0.0;0.8540000000000001;0.14300000000000002;0.0
1154;freud;1555653716;0.0;0.0;0.0;0.0;0.0;0.9329999999999999;0.066;0.0
1155;freud;1555653717;0.0;0.001;0.0;0.0;0.0;0.929;0.07;0.0
1156;freud;1555653718;0.0;0.0;0.0;0.0;0.0;0.9109999999999999;0.08900000000000001;0.0
1157;freud;1555653719;0.0;0.001;0.0;0.0;0.0;0.9470000000000001;0.052000000000000005;0.0
1158;freud;1555653720;0.0;0.0;0.0;0.0;0.0;0.919;0.08;0.0
1159;freud;1555653721;0.0;0.001;0.0;0.0;0.0;0.8959999999999999;0.10300000000000001;0.0
1160;freud;1555653723;0.0;0.001;0.0;0.0;0.0;0.9179999999999999;0.081;0.0
1161;freud;1555653724;0.0;0.0;0.0;0.0;0.0;0.9059999999999999;0.09300000000000001;0.0
1162;freud;1555653725;0.0;0.0;0.0;0.0;0.0;0.79;0.21;0.0
1163;freud;1555653726;0.0;0.0;0.0;0.0;0.0;0.96;0.04;0.0
1164;freud;1555653727;0.0;0.0;0.0;0.0;0.0;0.9009999999999999;0.099;0.0
1165;freud;1555653728;0.0;0.0;0.0;0.0;0.0;0.96;0.04;0.0
1166;freud;1555653729;0.0;0.0;0.0;0.0;0.0;0.9359999999999999;0.063;0.0
1167;freud;1555653730;0.0;0.0;0.0;0.0;0.0;0.9;0.099;0.0
1168;freud;1555653731;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
1169;freud;1555653732;0.0;0.0;0.0;0.0;0.0;0.9440000000000001;0.055999999999999994;0.0
1170;freud;1555653733;0.0;0.0;0.0;0.0;0.0;0.975;0.024;0.0
1171;freud;1555653734;0.0;0.001;0.0;0.0;0.0;0.861;0.13699999999999998;0.0
1172;freud;1555653735;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.045;0.0
1173;freud;1555653736;0.0;0.0;0.0;0.0;0.0;0.9390000000000001;0.061;0.0
1174;freud;1555653737;0.0;0.0;0.0;0.0;0.0;0.96;0.04;0.0
1175;freud;1555653738;0.0;0.0;0.0;0.0;0.0;0.955;0.044000000000000004;0.0
1176;freud;1555653739;0.0;0.0;0.0;0.0;0.0;0.946;0.054000000000000006;0.0
1177;freud;1555653740;0.0;0.0;0.0;0.0;0.0;0.867;0.133;0.0
1178;freud;1555653741;0.0;0.0;0.0;0.0;0.0;0.958;0.042;0.0
1179;freud;1555653742;0.0;0.0;0.0;0.0;0.0;0.9570000000000001;0.043;0.0
1180;freud;1555653743;0.0;0.0;0.0;0.0;0.0;0.9690000000000001;0.031;0.0
1181;freud;1555653744;0.0;0.0;0.0;0.0;0.0;0.98;0.02;0.0
1182;freud;1555653745;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
1183;freud;1555653746;0.0;0.0;0.0;0.0;0.0;0.953;0.047;0.0
1184;freud;1555653747;0.0;0.0;0.0;0.0;0.0;0.9590000000000001;0.040999999999999995;0.0
1185;freud;1555653748;0.0;0.0;0.0;0.0;0.0;0.9940000000000001;0.005;0.0
1186;freud;1555653749;0.0;0.001;0.0;0.0;0.0;0.968;0.031;0.0
1187;freud;1555653750;0.0;0.003;0.0;0.0;0.0;0.9;0.096;0.0
1188;freud;1555653751;0.0;0.0;0.0;0.0;0.0;0.965;0.034;0.0
1189;freud;1555653752;0.0;0.0;0.0;0.0;0.0;0.981;0.019;0.0
1190;freud;1555653760;;;;;;;;
1191;freud;1555653760;;;;;;;;
1192;freud;1555653760;;;;;;;;
1193;freud;1555653760;;;;;;;;
1194;freud;1555653760;;;;;;;;
1195;freud;1555653760;;;;;;;;
1196;freud;1555653760;;;;;;;;
1197;freud;1555653761;0.0;0.001;0.0;0.003;0.001;0.478;0.39799999999999996;0.11900000000000001
1198;freud;1555653762;0.0;0.028999999999999998;0.0;0.003;0.0;0.794;0.172;0.002
1199;freud;1555653763;0.0;0.0;0.0;0.0;0.0;0.9470000000000001;0.053;0.0
1200;freud;1555653764;0.0;0.0;0.0;0.0;0.0;0.857;0.14300000000000002;0.0
1201;freud;1555653765;0.0;0.0;0.0;0.0;0.0;0.9570000000000001;0.043;0.0
1202;freud;1555653766;0.0;0.0;0.0;0.0;0.0;0.9640000000000001;0.036000000000000004;0.0
1203;freud;1555653767;0.0;0.0;0.0;0.0;0.0;0.934;0.066;0.0
1204;freud;1555653768;0.0;0.001;0.0;0.0;0.002;0.748;0.248;0.0
1205;freud;1555653769;0.0;0.0;0.0;0.0;0.0;0.7509999999999999;0.249;0.0
1206;freud;1555653770;0.0;0.0;0.0;0.0;0.0;0.951;0.049;0.0
1207;freud;1555653771;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.046;0.0
1208;freud;1555653772;0.0;0.0;0.0;0.0;0.0;0.9470000000000001;0.052000000000000005;0.0
1209;freud;1555653773;0.0;0.0;0.0;0.0;0.002;0.951;0.047;0.0
1210;freud;1555653774;0.0;0.0;0.0;0.0;0.001;0.9359999999999999;0.063;0.0
1211;freud;1555653775;0.0;0.0;0.0;0.0;0.0;0.889;0.111;0.0
1212;freud;1555653776;0.0;0.0;0.0;0.0;0.0;0.9359999999999999;0.064;0.0
1213;freud;1555653777;0.0;0.0;0.0;0.0;0.0;0.955;0.045;0.0
1214;freud;1555653778;0.0;0.0;0.0;0.0;0.0;0.8690000000000001;0.131;0.0
1215;freud;1555653779;0.0;0.0;0.0;0.0;0.0;0.868;0.131;0.0
1216;freud;1555653780;0.0;0.001;0.0;0.0;0.0;0.893;0.106;0.0
1217;freud;1555653781;0.0;0.0;0.0;0.0;0.0;0.9279999999999999;0.07200000000000001;0.0
1218;freud;1555653782;0.0;0.0;0.0;0.0;0.003;0.951;0.046;0.0
1219;freud;1555653783;0.0;0.0;0.0;0.0;0.0;0.858;0.142;0.0
1220;freud;1555653784;0.0;0.0;0.0;0.0;0.0;0.9329999999999999;0.067;0.0
1221;freud;1555653785;0.0;0.0;0.0;0.0;0.0;0.884;0.115;0.0
1222;freud;1555653786;0.0;0.0;0.0;0.0;0.0;0.74;0.26;0.0
1223;freud;1555653787;0.0;0.0;0.0;0.0;0.0;0.889;0.111;0.0
1224;freud;1555653788;0.0;0.0;0.0;0.0;0.0;0.929;0.071;0.0
1225;freud;1555653789;0.0;0.0;0.0;0.0;0.001;0.7979999999999999;0.2;0.0
1226;freud;1555653790;0.0;0.0;0.0;0.0;0.0;0.9520000000000001;0.047;0.0
1227;freud;1555653791;0.0;0.0;0.0;0.0;0.0;0.9590000000000001;0.04;0.0
1228;freud;1555653792;0.0;0.0;0.0;0.0;0.0;0.963;0.037000000000000005;0.0
1229;freud;1555653793;0.0;0.0;0.0;0.0;0.0;0.976;0.024;0.0
1230;freud;1555653794;0.0;0.0;0.0;0.0;0.0;0.99;0.01;0.0
1231;freud;1555653795;0.0;0.0;0.0;0.0;0.003;0.987;0.01;0.0
1232;freud;1555653797;0.0;0.0;0.0;0.0;0.002;0.98;0.018000000000000002;0.0
1233;freud;1555653798;0.0;0.0;0.0;0.0;0.0;0.988;0.011000000000000001;0.0
1234;freud;1555653799;0.0;0.0;0.0;0.0;0.0;0.975;0.025;0.0
1235;freud;1555653800;0.0;0.0;0.0;0.0;0.0;0.938;0.061;0.0
1236;freud;1555653801;0.0;0.0;0.0;0.0;0.0;0.961;0.038;0.0
1237;freud;1555653802;0.0;0.0;0.0;0.0;0.0;0.966;0.033;0.0
1238;freud;1555653803;0.0;0.0;0.0;0.0;0.0;0.941;0.057999999999999996;0.0
1239;freud;1555653804;0.0;0.0;0.0;0.0;0.0;0.978;0.022000000000000002;0.0
1240;freud;1555653805;0.0;0.0;0.0;0.0;0.0;0.978;0.022000000000000002;0.0
1241;freud;1555653806;0.0;0.0;0.0;0.0;0.0;0.9740000000000001;0.026000000000000002;0.0
1242;freud;1555653807;0.0;0.0;0.0;0.0;0.0;0.973;0.027000000000000003;0.0
1243;freud;1555653808;0.0;0.0;0.0;0.0;0.0;0.9590000000000001;0.04;0.0
1244;freud;1555653809;0.0;0.0;0.0;0.0;0.0;0.941;0.059000000000000004;0.0
1245;freud;1555653810;0.0;0.0;0.0;0.0;0.0;0.904;0.096;0.0
1246;freud;1555653811;0.0;0.0;0.0;0.0;0.0;0.812;0.188;0.0
1247;freud;1555653812;0.0;0.0;0.0;0.0;0.0;0.9259999999999999;0.07400000000000001;0.0
1248;freud;1555653813;0.0;0.0;0.0;0.0;0.0;0.9259999999999999;0.07400000000000001;0.0
1249;freud;1555653814;0.0;0.0;0.0;0.0;0.0;0.9470000000000001;0.053;0.0
1250;freud;1555653815;0.0;0.0;0.0;0.0;0.004;0.9570000000000001;0.039;0.0
1251;freud;1555653816;0.0;0.0;0.0;0.0;0.0;0.7090000000000001;0.29100000000000004;0.0
1252;freud;1555653817;0.0;0.0;0.0;0.0;0.0;0.97;0.028999999999999998;0.0
1253;freud;1555653818;0.0;0.0;0.0;0.0;0.001;0.983;0.016;0.0
1254;freud;1555653819;0.0;0.0;0.0;0.0;0.0;0.9640000000000001;0.036000000000000004;0.0
1255;freud;1555653820;0.0;0.0;0.0;0.0;0.0;0.955;0.045;0.0
1256;freud;1555653821;0.0;0.0;0.0;0.0;0.0;0.875;0.125;0.0
1257;freud;1555653822;0.0;0.0;0.0;0.0;0.0;0.75;0.25;0.0
1258;freud;1555653823;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
1259;freud;1555653824;0.0;0.0;0.0;0.0;0.001;0.7020000000000001;0.297;0.0
1260;freud;1555653825;0.0;0.0;0.0;0.0;0.003;0.895;0.102;0.0
1261;freud;1555653826;0.0;0.0;0.0;0.0;0.001;0.816;0.183;0.0
1262;freud;1555653827;0.0;0.0;0.0;0.0;0.0;0.782;0.217;0.0
1263;freud;1555653828;0.0;0.0;0.0;0.0;0.0;0.76;0.24;0.0
1264;freud;1555653829;0.0;0.0;0.0;0.0;0.001;0.94;0.059000000000000004;0.0
1265;freud;1555653830;0.0;0.0;0.0;0.0;0.002;0.897;0.1;0.0
1266;freud;1555653831;0.0;0.0;0.0;0.0;0.0;0.769;0.231;0.0
1267;freud;1555653832;0.0;0.0;0.0;0.0;0.001;0.81;0.18899999999999997;0.0
1268;freud;1555653834;0.0;0.0;0.0;0.0;0.0;0.8109999999999999;0.18899999999999997;0.0
1269;freud;1555653835;0.0;0.0;0.0;0.0;0.0;0.836;0.163;0.0
1270;freud;1555653836;0.0;0.0;0.0;0.0;0.0;0.9490000000000001;0.051;0.0
1271;freud;1555653837;0.0;0.0;0.0;0.0;0.0;0.9009999999999999;0.099;0.0
1272;freud;1555653838;0.0;0.0;0.0;0.0;0.0;0.88;0.11900000000000001;0.0
1273;freud;1555653839;0.0;0.0;0.0;0.0;0.0;0.8740000000000001;0.125;0.0
1274;freud;1555653840;0.0;0.0;0.0;0.0;0.0;0.856;0.14400000000000002;0.0
1275;freud;1555653841;0.0;0.0;0.0;0.0;0.0;0.9540000000000001;0.045;0.0
1276;freud;1555653842;0.0;0.0;0.0;0.0;0.0;0.985;0.013999999999999999;0.0
1277;freud;1555653843;0.0;0.0;0.0;0.0;0.718;0.281;0.0;0.0
1278;freud;1555653844;0.0;0.001;0.0;0.0;0.307;0.6920000000000001;0.0;0.0
1279;freud;1555653845;0.0;0.001;0.0;0.0;0.177;0.821;0.001;0.0
1280;freud;1555653846;0.0;0.0;0.0;0.0;0.008;0.986;0.005;0.0
1281;freud;1555653847;0.0;0.0;0.0;0.0;0.002;0.986;0.012;0.0
1282;freud;1555653848;0.0;0.0;0.0;0.0;0.001;0.99;0.01;0.0
1283;freud;1555653849;0.0;0.0;0.0;0.0;0.001;0.9740000000000001;0.024;0.0
1284;freud;1555653850;0.0;0.0;0.0;0.0;0.006;0.983;0.011000000000000001;0.0
1285;freud;1555653851;0.0;0.0;0.0;0.0;0.006999999999999999;0.985;0.008;0.0
1286;freud;1555653852;0.0;0.001;0.0;0.0;0.025;0.971;0.004;0.0
1287;freud;1555653853;0.0;0.0;0.0;0.0;0.032;0.963;0.005;0.0
1288;freud;1555653854;0.0;0.001;0.0;0.0;0.035;0.9620000000000001;0.002;0.0
1289;freud;1555653855;0.0;0.001;0.0;0.0;0.486;0.514;0.0;0.0
1290;freud;1555653856;0.0;0.001;0.0;0.0;0.257;0.741;0.001;0.0
