COND;GAME-TIMESTAMP;PICTURE-TIMESTAMP;IADS-ID;IAPS-ID;ANGER;CONTEMPT;DISGUST;FEAR;HAPPINESS;NEUTRAL;SADNESS;SURPRISE
con;nan;0.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.986;0.014;0.0
con;nan;100.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.989;0.011;0.0
con;nan;120.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.99;0.01;0.0
con;nan;140.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.993;0.007;0.0
con;nan;160.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.986;0.013;0.0
con;nan;180.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.985;0.015;0.0
con;nan;20.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.986;0.014;0.0
con;nan;200.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.987;0.013;0.0
con;nan;220.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.992;0.008;0.0
con;nan;240.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.983;0.016;0.0
con;nan;260.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.993;0.007;0.0
con;nan;280.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.991;0.009;0.0
con;nan;300.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.996;0.004;0.0
con;nan;320.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.993;0.007;0.0
con;nan;340.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.989;0.011;0.0
con;nan;40.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.986;0.014;0.0
con;nan;60.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.993;0.007;0.0
con;nan;80.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.944;0.056;0.0
con;nan;-1.0;104;2810;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
con;nan;0.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.969;0.031;0.0
con;nan;100.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.951;0.049;0.0
con;nan;120.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
con;nan;140.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.715;0.284;0.0
con;nan;160.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.702;0.298;0.0
con;nan;180.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.639;0.361;0.0
con;nan;20.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.953;0.047;0.0
con;nan;200.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.946;0.054;0.0
con;nan;220.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.942;0.057;0.0
con;nan;240.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.916;0.083;0.0
con;nan;260.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.965;0.035;0.0
con;nan;280.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.932;0.068;0.0
con;nan;300.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.934;0.065;0.0
con;nan;320.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.969;0.031;0.0
con;nan;340.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.93;0.07;0.0
con;nan;40.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.977;0.023;0.0
con;nan;60.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.969;0.03;0.0
con;nan;80.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.941;0.059;0.0
con;nan;-1.0;106;6213;0.0;0.0;0.0;0.0;0.0;0.947;0.053;0.0
con;nan;0.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
con;nan;100.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
con;nan;120.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
con;nan;140.0;110;8380;0.0;0.001;0.0;0.0;0.0;0.898;0.101;0.0
con;nan;160.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.979;0.021;0.0
con;nan;180.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
con;nan;20.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.984;0.016;0.0
con;nan;200.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.978;0.022;0.0
con;nan;220.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.965;0.035;0.0
con;nan;240.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.977;0.022;0.0
con;nan;260.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.971;0.029;0.0
con;nan;280.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.977;0.023;0.0
con;nan;300.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.975;0.025;0.0
con;nan;320.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.971;0.029;0.0
con;nan;340.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.981;0.019;0.0
con;nan;40.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.981;0.019;0.0
con;nan;60.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
con;nan;80.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.98;0.02;0.0
con;nan;-1.0;110;8380;0.0;0.0;0.0;0.0;0.0;0.988;0.012;0.0
con;nan;0.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.979;0.021;0.0
con;nan;100.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.975;0.025;0.0
con;nan;120.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.95;0.05;0.0
con;nan;140.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.973;0.027;0.0
con;nan;160.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.953;0.046;0.0
con;nan;180.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.959;0.041;0.0
con;nan;20.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.983;0.017;0.0
con;nan;200.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.952;0.048;0.0
con;nan;220.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.914;0.086;0.0
con;nan;240.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.934;0.066;0.0
con;nan;260.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.938;0.062;0.0
con;nan;280.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.827;0.173;0.0
con;nan;300.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.949;0.051;0.0
con;nan;320.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.95;0.049;0.0
con;nan;340.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.936;0.064;0.0
con;nan;40.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.985;0.015;0.0
con;nan;60.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.967;0.032;0.0
con;nan;80.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.956;0.044;0.0
con;nan;-1.0;120;1945;0.0;0.0;0.0;0.0;0.0;0.98;0.02;0.0
con;nan;0.0;130;7092;0.0;0.001;0.0;0.0;0.0;0.92;0.079;0.0
con;nan;100.0;130;7092;0.0;0.001;0.0;0.0;0.0;0.915;0.084;0.0
con;nan;120.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.963;0.037;0.0
con;nan;140.0;130;7092;0.0;0.001;0.0;0.0;0.0;0.903;0.096;0.0
con;nan;160.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.956;0.044;0.0
con;nan;180.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.922;0.078;0.0
con;nan;20.0;130;7092;0.0;0.001;0.0;0.0;0.0;0.903;0.096;0.0
con;nan;200.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.937;0.063;0.0
con;nan;220.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.947;0.052;0.0
con;nan;240.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.922;0.077;0.0
con;nan;260.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.925;0.074;0.0
con;nan;280.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.91;0.089;0.0
con;nan;300.0;130;7092;0.0;0.001;0.0;0.0;0.0;0.892;0.106;0.0
con;nan;320.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.925;0.074;0.0
con;nan;340.0;130;7092;0.0;0.002;0.0;0.0;0.0;0.896;0.101;0.0
con;nan;40.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.92;0.08;0.0
con;nan;60.0;130;7092;0.0;0.001;0.0;0.0;0.0;0.899;0.1;0.0
con;nan;80.0;130;7092;0.0;0.001;0.0;0.0;0.0;0.879;0.119;0.0
con;nan;-1.0;130;7092;0.0;0.0;0.0;0.0;0.0;0.94;0.059;0.0
con;nan;0.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.849;0.15;0.0
con;nan;100.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.979;0.021;0.0
con;nan;120.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.957;0.043;0.0
con;nan;140.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.954;0.046;0.0
con;nan;160.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.893;0.106;0.0
con;nan;180.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.955;0.045;0.0
con;nan;20.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.961;0.039;0.0
con;nan;200.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.958;0.041;0.0
con;nan;220.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
con;nan;240.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.96;0.04;0.0
con;nan;260.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.973;0.026;0.0
con;nan;280.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.983;0.016;0.0
con;nan;300.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.986;0.014;0.0
con;nan;320.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.967;0.033;0.0
con;nan;340.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.973;0.027;0.0
con;nan;40.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.957;0.043;0.0
con;nan;60.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.958;0.042;0.0
con;nan;80.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.967;0.033;0.0
con;nan;-1.0;132;7249;0.0;0.0;0.0;0.0;0.0;0.981;0.019;0.0
con;nan;0.0;134;8230;0.0;0.0;0.0;0.0;0.0;0.953;0.046;0.0
con;nan;100.0;134;8230;0.0;0.0;0.0;0.0;0.0;0.883;0.117;0.0
con;nan;120.0;134;8230;0.0;0.0;0.0;0.0;0.0;0.844;0.156;0.0
